id,date,store_nbr,family,sales,onpromotion
752,2013-01-01,3,PET SUPPLIES,0.0,0
753,2013-01-01,3,PLAYERS AND ELECTRONICS,0.0,0
754,2013-01-01,3,POULTRY,0.0,0
755,2013-01-01,3,PREPARED FOODS,0.0,0
756,2013-01-01,3,PRODUCE,0.0,0
757,2013-01-01,3,SCHOOL AND OFFICE SUPPLIES,0.0,0
758,2013-01-01,3,SEAFOOD,0.0,0
1089,2013-01-01,4,AUTOMOTIVE,0.0,0
1090,2013-01-01,4,BABY CARE,0.0,0
1091,2013-01-01,4,BEAUTY,0.0,0
1092,2013-01-01,4,BEVERAGES,0.0,0
1093,2013-01-01,4,BOOKS,0.0,0
1094,2013-01-01,4,BREAD/BAKERY,0.0,0
1095,2013-01-01,4,CELEBRATION,0.0,0
1096,2013-01-01,4,CLEANING,0.0,0
1097,2013-01-01,4,DAIRY,0.0,0
1098,2013-01-01,4,DELI,0.0,0
1099,2013-01-01,4,EGGS,0.0,0
1100,2013-01-01,4,FROZEN FOODS,0.0,0
1101,2013-01-01,4,GROCERY I,0.0,0
1102,2013-01-01,4,GROCERY II,0.0,0
1103,2013-01-01,4,HARDWARE,0.0,0
1104,2013-01-01,4,HOME AND KITCHEN I,0.0,0
1105,2013-01-01,4,HOME AND KITCHEN II,0.0,0
1106,2013-01-01,4,HOME APPLIANCES,0.0,0
1107,2013-01-01,4,HOME CARE,0.0,0
1108,2013-01-01,4,LADIESWEAR,0.0,0
1109,2013-01-01,4,LAWN AND GARDEN,0.0,0
1110,2013-01-01,4,LINGERIE,0.0,0
1111,2013-01-01,4,"LIQUOR,WINE,BEER",0.0,0
1112,2013-01-01,4,MAGAZINES,0.0,0
1113,2013-01-01,4,MEATS,0.0,0
1114,2013-01-01,4,PERSONAL CARE,0.0,0
1115,2013-01-01,4,PET SUPPLIES,0.0,0
1116,2013-01-01,4,PLAYERS AND ELECTRONICS,0.0,0
1117,2013-01-01,4,POULTRY,0.0,0
1118,2013-01-01,4,PREPARED FOODS,0.0,0
1119,2013-01-01,4,PRODUCE,0.0,0
1120,2013-01-01,4,SCHOOL AND OFFICE SUPPLIES,0.0,0
1121,2013-01-01,4,SEAFOOD,0.0,0
1452,2013-01-01,5,AUTOMOTIVE,0.0,0
1453,2013-01-01,5,BABY CARE,0.0,0
1454,2013-01-01,5,BEAUTY,0.0,0
1455,2013-01-01,5,BEVERAGES,0.0,0
1456,2013-01-01,5,BOOKS,0.0,0
1457,2013-01-01,5,BREAD/BAKERY,0.0,0
1458,2013-01-01,5,CELEBRATION,0.0,0
1459,2013-01-01,5,CLEANING,0.0,0
1460,2013-01-01,5,DAIRY,0.0,0
1461,2013-01-01,5,DELI,0.0,0
1462,2013-01-01,5,EGGS,0.0,0
1463,2013-01-01,5,FROZEN FOODS,0.0,0
1464,2013-01-01,5,GROCERY I,0.0,0
1465,2013-01-01,5,GROCERY II,0.0,0
1466,2013-01-01,5,HARDWARE,0.0,0
1467,2013-01-01,5,HOME AND KITCHEN I,0.0,0
1468,2013-01-01,5,HOME AND KITCHEN II,0.0,0
1469,2013-01-01,5,HOME APPLIANCES,0.0,0
1470,2013-01-01,5,HOME CARE,0.0,0
1471,2013-01-01,5,LADIESWEAR,0.0,0
1472,2013-01-01,5,LAWN AND GARDEN,0.0,0
1473,2013-01-01,5,LINGERIE,0.0,0
1474,2013-01-01,5,"LIQUOR,WINE,BEER",0.0,0
1475,2013-01-01,5,MAGAZINES,0.0,0
1476,2013-01-01,5,MEATS,0.0,0
1477,2013-01-01,5,PERSONAL CARE,0.0,0
1478,2013-01-01,5,PET SUPPLIES,0.0,0
1479,2013-01-01,5,PLAYERS AND ELECTRONICS,0.0,0
1480,2013-01-01,5,POULTRY,0.0,0
1481,2013-01-01,5,PREPARED FOODS,0.0,0
1482,2013-01-01,5,PRODUCE,0.0,0
1483,2013-01-01,5,SCHOOL AND OFFICE SUPPLIES,0.0,0
1484,2013-01-01,5,SEAFOOD,0.0,0
1782,2013-01-02,1,AUTOMOTIVE,2.0,0
1783,2013-01-02,1,BABY CARE,0.0,0
1784,2013-01-02,1,BEAUTY,2.0,0
1785,2013-01-02,1,BEVERAGES,1091.0,0
1786,2013-01-02,1,BOOKS,0.0,0
1787,2013-01-02,1,BREAD/BAKERY,470.652,0
1788,2013-01-02,1,CELEBRATION,0.0,0
1789,2013-01-02,1,CLEANING,1060.0,0
1790,2013-01-02,1,DAIRY,579.0,0
1791,2013-01-02,1,DELI,164.069,0
1792,2013-01-02,1,EGGS,246.0,0
1793,2013-01-02,1,FROZEN FOODS,131.0,0
1794,2013-01-02,1,GROCERY I,2652.0,0
1795,2013-01-02,1,GROCERY II,31.0,0
1796,2013-01-02,1,HARDWARE,3.0,0
1797,2013-01-02,1,HOME AND KITCHEN I,0.0,0
1798,2013-01-02,1,HOME AND KITCHEN II,0.0,0
1799,2013-01-02,1,HOME APPLIANCES,0.0,0
1800,2013-01-02,1,HOME CARE,0.0,0
1801,2013-01-02,1,LADIESWEAR,0.0,0
1802,2013-01-02,1,LAWN AND GARDEN,10.0,0
1803,2013-01-02,1,LINGERIE,13.0,0
1804,2013-01-02,1,"LIQUOR,WINE,BEER",67.0,0
1805,2013-01-02,1,MAGAZINES,0.0,0
1806,2013-01-02,1,MEATS,369.101,0
1807,2013-01-02,1,PERSONAL CARE,194.0,0
1808,2013-01-02,1,PET SUPPLIES,0.0,0
1809,2013-01-02,1,PLAYERS AND ELECTRONICS,0.0,0
1810,2013-01-02,1,POULTRY,247.297,0
1811,2013-01-02,1,PREPARED FOODS,47.0,0
1812,2013-01-02,1,PRODUCE,0.0,0
1813,2013-01-02,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
1814,2013-01-02,1,SEAFOOD,38.029,0
2145,2013-01-02,2,AUTOMOTIVE,8.0,0
2146,2013-01-02,2,BABY CARE,0.0,0
2147,2013-01-02,2,BEAUTY,3.0,0
2148,2013-01-02,2,BEVERAGES,1481.0,0
2149,2013-01-02,2,BOOKS,0.0,0
2150,2013-01-02,2,BREAD/BAKERY,523.882,0
2151,2013-01-02,2,CELEBRATION,0.0,0
2152,2013-01-02,2,CLEANING,1432.0,0
2153,2013-01-02,2,DAIRY,651.0,0
2154,2013-01-02,2,DELI,303.875,0
2155,2013-01-02,2,EGGS,307.0,0
2156,2013-01-02,2,FROZEN FOODS,111.1,0
2157,2013-01-02,2,GROCERY I,3870.0,0
2158,2013-01-02,2,GROCERY II,39.0,0
2159,2013-01-02,2,HARDWARE,0.0,0
2160,2013-01-02,2,HOME AND KITCHEN I,0.0,0
2161,2013-01-02,2,HOME AND KITCHEN II,0.0,0
2162,2013-01-02,2,HOME APPLIANCES,0.0,0
2163,2013-01-02,2,HOME CARE,0.0,0
2164,2013-01-02,2,LADIESWEAR,0.0,0
2165,2013-01-02,2,LAWN AND GARDEN,2.0,0
2166,2013-01-02,2,LINGERIE,16.0,0
2167,2013-01-02,2,"LIQUOR,WINE,BEER",29.0,0
2168,2013-01-02,2,MAGAZINES,0.0,0
2169,2013-01-02,2,MEATS,655.626,0
2170,2013-01-02,2,PERSONAL CARE,333.0,0
2171,2013-01-02,2,PET SUPPLIES,0.0,0
2172,2013-01-02,2,PLAYERS AND ELECTRONICS,0.0,0
2173,2013-01-02,2,POULTRY,342.50598,0
2174,2013-01-02,2,PREPARED FOODS,127.357,0
2175,2013-01-02,2,PRODUCE,0.0,0
2176,2013-01-02,2,SCHOOL AND OFFICE SUPPLIES,0.0,0
2177,2013-01-02,2,SEAFOOD,31.373001,0
2508,2013-01-02,3,AUTOMOTIVE,10.0,0
2509,2013-01-02,3,BABY CARE,0.0,0
2510,2013-01-02,3,BEAUTY,15.0,0
2511,2013-01-02,3,BEVERAGES,4486.0,0
2512,2013-01-02,3,BOOKS,0.0,0
2513,2013-01-02,3,BREAD/BAKERY,1361.636,0
2514,2013-01-02,3,CELEBRATION,0.0,0
2515,2013-01-02,3,CLEANING,3101.0,0
2516,2013-01-02,3,DAIRY,1606.0,0
2517,2013-01-02,3,DELI,600.273,0
2518,2013-01-02,3,EGGS,814.0,0
2519,2013-01-02,3,FROZEN FOODS,490.391,0
2520,2013-01-02,3,GROCERY I,8463.0,0
2521,2013-01-02,3,GROCERY II,93.0,0
2522,2013-01-02,3,HARDWARE,3.0,0
2523,2013-01-02,3,HOME AND KITCHEN I,0.0,0
2524,2013-01-02,3,HOME AND KITCHEN II,0.0,0
2525,2013-01-02,3,HOME APPLIANCES,0.0,0
2526,2013-01-02,3,HOME CARE,0.0,0
2527,2013-01-02,3,LADIESWEAR,0.0,0
2528,2013-01-02,3,LAWN AND GARDEN,10.0,0
2529,2013-01-02,3,LINGERIE,38.0,0
2530,2013-01-02,3,"LIQUOR,WINE,BEER",122.0,0
2531,2013-01-02,3,MAGAZINES,0.0,0
2532,2013-01-02,3,MEATS,945.636,0
2533,2013-01-02,3,PERSONAL CARE,623.0,0
2534,2013-01-02,3,PET SUPPLIES,0.0,0
2535,2013-01-02,3,PLAYERS AND ELECTRONICS,0.0,0
2536,2013-01-02,3,POULTRY,681.348,0
2537,2013-01-02,3,PREPARED FOODS,428.0,0
2538,2013-01-02,3,PRODUCE,0.0,0
2539,2013-01-02,3,SCHOOL AND OFFICE SUPPLIES,0.0,0
2540,2013-01-02,3,SEAFOOD,169.064,0
2871,2013-01-02,4,AUTOMOTIVE,12.0,0
2872,2013-01-02,4,BABY CARE,0.0,0
2873,2013-01-02,4,BEAUTY,7.0,0
2874,2013-01-02,4,BEVERAGES,1545.0,0
2875,2013-01-02,4,BOOKS,0.0,0
2876,2013-01-02,4,BREAD/BAKERY,422.537,0
2877,2013-01-02,4,CELEBRATION,0.0,0
2878,2013-01-02,4,CLEANING,1358.0,0
2879,2013-01-02,4,DAIRY,589.0,0
2880,2013-01-02,4,DELI,268.344,0
2881,2013-01-02,4,EGGS,273.0,0
2882,2013-01-02,4,FROZEN FOODS,146.132,0
2883,2013-01-02,4,GROCERY I,4087.0,0
2884,2013-01-02,4,GROCERY II,43.0,0
2885,2013-01-02,4,HARDWARE,0.0,0
2886,2013-01-02,4,HOME AND KITCHEN I,0.0,0
2887,2013-01-02,4,HOME AND KITCHEN II,0.0,0
2888,2013-01-02,4,HOME APPLIANCES,0.0,0
2889,2013-01-02,4,HOME CARE,0.0,0
2890,2013-01-02,4,LADIESWEAR,0.0,0
2891,2013-01-02,4,LAWN AND GARDEN,9.0,0
2892,2013-01-02,4,LINGERIE,11.0,0
2893,2013-01-02,4,"LIQUOR,WINE,BEER",27.0,0
2894,2013-01-02,4,MAGAZINES,0.0,0
2895,2013-01-02,4,MEATS,494.204,0
2896,2013-01-02,4,PERSONAL CARE,387.0,0
2897,2013-01-02,4,PET SUPPLIES,0.0,0
2898,2013-01-02,4,PLAYERS AND ELECTRONICS,0.0,0
2899,2013-01-02,4,POULTRY,385.80698,0
2900,2013-01-02,4,PREPARED FOODS,109.062,0
2901,2013-01-02,4,PRODUCE,0.0,0
2902,2013-01-02,4,SCHOOL AND OFFICE SUPPLIES,0.0,0
2903,2013-01-02,4,SEAFOOD,25.998,0
3234,2013-01-02,5,AUTOMOTIVE,6.0,0
3235,2013-01-02,5,BABY CARE,0.0,0
3236,2013-01-02,5,BEAUTY,7.0,0
3237,2013-01-02,5,BEVERAGES,947.0,0
3238,2013-01-02,5,BOOKS,0.0,0
3239,2013-01-02,5,BREAD/BAKERY,566.917,0
3240,2013-01-02,5,CELEBRATION,0.0,0
3241,2013-01-02,5,CLEANING,1810.0,0
3242,2013-01-02,5,DAIRY,414.0,0
3243,2013-01-02,5,DELI,381.477,0
3244,2013-01-02,5,EGGS,246.0,0
3245,2013-01-02,5,FROZEN FOODS,187.168,0
3246,2013-01-02,5,GROCERY I,4558.0,0
3247,2013-01-02,5,GROCERY II,13.0,0
3248,2013-01-02,5,HARDWARE,3.0,0
3249,2013-01-02,5,HOME AND KITCHEN I,0.0,0
3250,2013-01-02,5,HOME AND KITCHEN II,0.0,0
3251,2013-01-02,5,HOME APPLIANCES,1.0,0
3252,2013-01-02,5,HOME CARE,0.0,0
3253,2013-01-02,5,LADIESWEAR,0.0,0
3254,2013-01-02,5,LAWN AND GARDEN,0.0,0
3255,2013-01-02,5,LINGERIE,44.0,0
3256,2013-01-02,5,"LIQUOR,WINE,BEER",73.0,0
3257,2013-01-02,5,MAGAZINES,0.0,0
3258,2013-01-02,5,MEATS,455.39902,0
3259,2013-01-02,5,PERSONAL CARE,427.0,0
3260,2013-01-02,5,PET SUPPLIES,0.0,0
3261,2013-01-02,5,PLAYERS AND ELECTRONICS,0.0,0
3262,2013-01-02,5,POULTRY,311.913,0
3263,2013-01-02,5,PREPARED FOODS,135.0,0
3264,2013-01-02,5,PRODUCE,0.0,0
3265,2013-01-02,5,SCHOOL AND OFFICE SUPPLIES,0.0,0
3266,2013-01-02,5,SEAFOOD,11.745,0
3564,2013-01-03,1,AUTOMOTIVE,3.0,0
3565,2013-01-03,1,BABY CARE,0.0,0
3566,2013-01-03,1,BEAUTY,0.0,0
3567,2013-01-03,1,BEVERAGES,919.0,0
3568,2013-01-03,1,BOOKS,0.0,0
3569,2013-01-03,1,BREAD/BAKERY,310.655,0
3570,2013-01-03,1,CELEBRATION,0.0,0
3571,2013-01-03,1,CLEANING,836.0,0
3572,2013-01-03,1,DAIRY,453.0,0
3573,2013-01-03,1,DELI,151.582,0
3574,2013-01-03,1,EGGS,203.0,0
3575,2013-01-03,1,FROZEN FOODS,87.044,0
3576,2013-01-03,1,GROCERY I,2121.0,0
3577,2013-01-03,1,GROCERY II,12.0,0
3578,2013-01-03,1,HARDWARE,1.0,0
3579,2013-01-03,1,HOME AND KITCHEN I,0.0,0
3580,2013-01-03,1,HOME AND KITCHEN II,0.0,0
3581,2013-01-03,1,HOME APPLIANCES,2.0,0
3582,2013-01-03,1,HOME CARE,0.0,0
3583,2013-01-03,1,LADIESWEAR,0.0,0
3584,2013-01-03,1,LAWN AND GARDEN,0.0,0
3585,2013-01-03,1,LINGERIE,15.0,0
3586,2013-01-03,1,"LIQUOR,WINE,BEER",66.0,0
3587,2013-01-03,1,MAGAZINES,0.0,0
3588,2013-01-03,1,MEATS,272.319,0
3589,2013-01-03,1,PERSONAL CARE,153.0,0
3590,2013-01-03,1,PET SUPPLIES,0.0,0
3591,2013-01-03,1,PLAYERS AND ELECTRONICS,0.0,0
3592,2013-01-03,1,POULTRY,187.278,0
3593,2013-01-03,1,PREPARED FOODS,63.0,0
3594,2013-01-03,1,PRODUCE,0.0,0
3595,2013-01-03,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
3596,2013-01-03,1,SEAFOOD,17.366001,0
3927,2013-01-03,2,AUTOMOTIVE,5.0,0
3928,2013-01-03,2,BABY CARE,0.0,0
3929,2013-01-03,2,BEAUTY,2.0,0
3930,2013-01-03,2,BEVERAGES,1016.0,0
3931,2013-01-03,2,BOOKS,0.0,0
3932,2013-01-03,2,BREAD/BAKERY,321.693,0
3933,2013-01-03,2,CELEBRATION,0.0,0
3934,2013-01-03,2,CLEANING,1398.0,0
3935,2013-01-03,2,DAIRY,461.0,0
3936,2013-01-03,2,DELI,177.799,0
3937,2013-01-03,2,EGGS,186.0,0
3938,2013-01-03,2,FROZEN FOODS,59.265,0
3939,2013-01-03,2,GROCERY I,2640.0,0
3940,2013-01-03,2,GROCERY II,23.0,0
3941,2013-01-03,2,HARDWARE,1.0,0
3942,2013-01-03,2,HOME AND KITCHEN I,0.0,0
3943,2013-01-03,2,HOME AND KITCHEN II,0.0,0
3944,2013-01-03,2,HOME APPLIANCES,0.0,0
3945,2013-01-03,2,HOME CARE,0.0,0
3946,2013-01-03,2,LADIESWEAR,0.0,0
3947,2013-01-03,2,LAWN AND GARDEN,2.0,0
3948,2013-01-03,2,LINGERIE,20.0,0
3949,2013-01-03,2,"LIQUOR,WINE,BEER",22.0,0
3950,2013-01-03,2,MAGAZINES,0.0,0
3951,2013-01-03,2,MEATS,597.745,0
3952,2013-01-03,2,PERSONAL CARE,236.0,0
3953,2013-01-03,2,PET SUPPLIES,0.0,0
3954,2013-01-03,2,PLAYERS AND ELECTRONICS,0.0,0
3955,2013-01-03,2,POULTRY,317.652,0
3956,2013-01-03,2,PREPARED FOODS,92.043,0
3957,2013-01-03,2,PRODUCE,0.0,0
3958,2013-01-03,2,SCHOOL AND OFFICE SUPPLIES,0.0,0
3959,2013-01-03,2,SEAFOOD,34.343,0
4290,2013-01-03,3,AUTOMOTIVE,7.0,0
4291,2013-01-03,3,BABY CARE,0.0,0
4292,2013-01-03,3,BEAUTY,6.0,0
4293,2013-01-03,3,BEVERAGES,3367.0,0
4294,2013-01-03,3,BOOKS,0.0,0
4295,2013-01-03,3,BREAD/BAKERY,886.184,0
4296,2013-01-03,3,CELEBRATION,0.0,0
4297,2013-01-03,3,CLEANING,2493.0,0
4298,2013-01-03,3,DAIRY,1377.0,0
4299,2013-01-03,3,DELI,421.195,0
4300,2013-01-03,3,EGGS,639.0,0
4301,2013-01-03,3,FROZEN FOODS,326.191,0
4302,2013-01-03,3,GROCERY I,6712.0,0
4303,2013-01-03,3,GROCERY II,82.0,0
4304,2013-01-03,3,HARDWARE,0.0,0
4305,2013-01-03,3,HOME AND KITCHEN I,0.0,0
4306,2013-01-03,3,HOME AND KITCHEN II,0.0,0
4307,2013-01-03,3,HOME APPLIANCES,0.0,0
4308,2013-01-03,3,HOME CARE,0.0,0
4309,2013-01-03,3,LADIESWEAR,0.0,0
4310,2013-01-03,3,LAWN AND GARDEN,9.0,0
4311,2013-01-03,3,LINGERIE,35.0,0
4312,2013-01-03,3,"LIQUOR,WINE,BEER",144.0,0
4313,2013-01-03,3,MAGAZINES,0.0,0
4314,2013-01-03,3,MEATS,700.47003,0
4315,2013-01-03,3,PERSONAL CARE,382.0,0
4316,2013-01-03,3,PET SUPPLIES,0.0,0
4317,2013-01-03,3,PLAYERS AND ELECTRONICS,0.0,0
4318,2013-01-03,3,POULTRY,566.789,0
4319,2013-01-03,3,PREPARED FOODS,318.865,0
4320,2013-01-03,3,PRODUCE,0.0,0
4321,2013-01-03,3,SCHOOL AND OFFICE SUPPLIES,0.0,0
4322,2013-01-03,3,SEAFOOD,98.050995,0
4653,2013-01-03,4,AUTOMOTIVE,3.0,0
4654,2013-01-03,4,BABY CARE,0.0,0
4655,2013-01-03,4,BEAUTY,1.0,0
4656,2013-01-03,4,BEVERAGES,1020.0,0
4657,2013-01-03,4,BOOKS,0.0,0
4658,2013-01-03,4,BREAD/BAKERY,273.752,0
4659,2013-01-03,4,CELEBRATION,0.0,0
4660,2013-01-03,4,CLEANING,1204.0,0
4661,2013-01-03,4,DAIRY,431.0,0
4662,2013-01-03,4,DELI,221.094,0
4663,2013-01-03,4,EGGS,176.0,0
4664,2013-01-03,4,FROZEN FOODS,139.623,0
4665,2013-01-03,4,GROCERY I,2824.0,0
4666,2013-01-03,4,GROCERY II,25.0,0
4667,2013-01-03,4,HARDWARE,0.0,0
4668,2013-01-03,4,HOME AND KITCHEN I,0.0,0
4669,2013-01-03,4,HOME AND KITCHEN II,0.0,0
4670,2013-01-03,4,HOME APPLIANCES,0.0,0
4671,2013-01-03,4,HOME CARE,0.0,0
4672,2013-01-03,4,LADIESWEAR,0.0,0
4673,2013-01-03,4,LAWN AND GARDEN,1.0,0
4674,2013-01-03,4,LINGERIE,7.0,0
4675,2013-01-03,4,"LIQUOR,WINE,BEER",31.0,0
4676,2013-01-03,4,MAGAZINES,0.0,0
4677,2013-01-03,4,MEATS,373.155,0
4678,2013-01-03,4,PERSONAL CARE,245.0,0
4679,2013-01-03,4,PET SUPPLIES,0.0,0
4680,2013-01-03,4,PLAYERS AND ELECTRONICS,0.0,0
4681,2013-01-03,4,POULTRY,319.433,0
4682,2013-01-03,4,PREPARED FOODS,76.254,0
4683,2013-01-03,4,PRODUCE,0.0,0
4684,2013-01-03,4,SCHOOL AND OFFICE SUPPLIES,0.0,0
4685,2013-01-03,4,SEAFOOD,28.934,0
5016,2013-01-03,5,AUTOMOTIVE,4.0,0
5017,2013-01-03,5,BABY CARE,0.0,0
5018,2013-01-03,5,BEAUTY,2.0,0
5019,2013-01-03,5,BEVERAGES,847.0,0
5020,2013-01-03,5,BOOKS,0.0,0
5021,2013-01-03,5,BREAD/BAKERY,377.887,0
5022,2013-01-03,5,CELEBRATION,0.0,0
5023,2013-01-03,5,CLEANING,1305.0,0
5024,2013-01-03,5,DAIRY,366.0,0
5025,2013-01-03,5,DELI,278.824,0
5026,2013-01-03,5,EGGS,120.0,0
5027,2013-01-03,5,FROZEN FOODS,117.994,0
5028,2013-01-03,5,GROCERY I,3260.0,0
5029,2013-01-03,5,GROCERY II,8.0,0
5030,2013-01-03,5,HARDWARE,0.0,0
5031,2013-01-03,5,HOME AND KITCHEN I,0.0,0
5032,2013-01-03,5,HOME AND KITCHEN II,0.0,0
5033,2013-01-03,5,HOME APPLIANCES,1.0,0
5034,2013-01-03,5,HOME CARE,0.0,0
5035,2013-01-03,5,LADIESWEAR,0.0,0
5036,2013-01-03,5,LAWN AND GARDEN,0.0,0
5037,2013-01-03,5,LINGERIE,36.0,0
5038,2013-01-03,5,"LIQUOR,WINE,BEER",47.0,0
5039,2013-01-03,5,MAGAZINES,0.0,0
5040,2013-01-03,5,MEATS,352.642,0
5041,2013-01-03,5,PERSONAL CARE,312.0,0
5042,2013-01-03,5,PET SUPPLIES,0.0,0
5043,2013-01-03,5,PLAYERS AND ELECTRONICS,0.0,0
5044,2013-01-03,5,POULTRY,196.459,0
5045,2013-01-03,5,PREPARED FOODS,122.0,0
5046,2013-01-03,5,PRODUCE,0.0,0
5047,2013-01-03,5,SCHOOL AND OFFICE SUPPLIES,0.0,0
5048,2013-01-03,5,SEAFOOD,17.162,0
5346,2013-01-04,1,AUTOMOTIVE,3.0,0
5347,2013-01-04,1,BABY CARE,0.0,0
5348,2013-01-04,1,BEAUTY,3.0,0
5349,2013-01-04,1,BEVERAGES,953.0,0
5350,2013-01-04,1,BOOKS,0.0,0
5351,2013-01-04,1,BREAD/BAKERY,198.366,0
5352,2013-01-04,1,CELEBRATION,0.0,0
5353,2013-01-04,1,CLEANING,827.0,0
5354,2013-01-04,1,DAIRY,460.0,0
5355,2013-01-04,1,DELI,131.411,0
5356,2013-01-04,1,EGGS,171.0,0
5357,2013-01-04,1,FROZEN FOODS,65.0,0
5358,2013-01-04,1,GROCERY I,2056.0,0
5359,2013-01-04,1,GROCERY II,15.0,0
5360,2013-01-04,1,HARDWARE,7.0,0
5361,2013-01-04,1,HOME AND KITCHEN I,0.0,0
5362,2013-01-04,1,HOME AND KITCHEN II,0.0,0
5363,2013-01-04,1,HOME APPLIANCES,0.0,0
5364,2013-01-04,1,HOME CARE,0.0,0
5365,2013-01-04,1,LADIESWEAR,0.0,0
5366,2013-01-04,1,LAWN AND GARDEN,7.0,0
5367,2013-01-04,1,LINGERIE,24.0,0
